year,team,conference,elo,source_year
2021,Boise State,Mountain West,1746,2021
2021,Boston College,ACC,1415,2021
2021,Bowling Green,Mid-American,1066,2021
2021,Buffalo,Mid-American,1323,2021
2021,BYU,FBS Independents,1723,2021
2021,California,Pac-12,1516,2021
2021,Central Michigan,Mid-American,1554,2021
2021,Charlotte,Conference USA,1158,2021
2021,Cincinnati,American Athletic,1952,2021
2021,Clemson,ACC,1899,2021
2021,Coastal Carolina,Sun Belt,1721,2021
2021,Colorado,Pac-12,1331,2021
2021,Colorado State,Mountain West,1349,2021
2021,Duke,ACC,1002,2021
2021,East Carolina,American Athletic,1528,2021
2021,Eastern Michigan,Mid-American,1320,2021
2021,Florida,SEC,1609,2021
2021,Florida Atlantic,Conference USA,1391,2021
2021,Florida International,Conference USA,871,2021
2021,Florida State,ACC,1502,2021
2021,Fresno State,Mountain West,1636,2021
2021,Georgia,SEC,2220,2021
2021,Georgia Southern,Sun Belt,1323,2021
2021,Georgia State,Sun Belt,1534,2021
2021,Georgia Tech,ACC,1270,2021
