batter,pitch_type,pitches,weighted_pitches,avg_xwoba,avg_exit_velo,swings,whiffs,balls_in_play,hard_hits,barrels,latest_year,whiff_per_swing,hard_hit_per_bip,barrel_per_bip
467793,CU,195,107.24999999999997,0.22031212500000003,75.12857142857142,34.650000000000006,12.100000000000001,8.8,3.3000000000000003,0.0,2025,0.3492063492063492,0.375,0.0
467793,FC,187,102.84999999999997,0.2888447072649572,82.80571428571434,51.7,9.9,16.5,11.0,0.0,2025,0.19148936170212766,0.6666666666666666,0.0
467793,FF,645,354.7499999999999,0.2914321008385749,84.48082706766921,180.39999999999998,24.75,86.35,37.95,0.55,2025,0.13719512195121952,0.4394904458598727,0.006369426751592358
467793,FS,100,54.99999999999998,0.3021062242063492,83.43333333333332,26.4,7.7,9.350000000000001,3.8500000000000005,1.1,2025,0.2916666666666667,0.4117647058823529,0.11764705882352941
467793,KC,46,25.300000000000004,0.18246985714285716,71.65,7.7,2.75,1.6500000000000001,0.55,0.0,2025,0.35714285714285715,0.3333333333333333,0.0
467793,KN,1,0.55,0.4600000000000001,94.2,0.55,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
467793,PO,1,0.55,,,0.0,0.0,0.0,0.0,0.0,2025,,,
467793,SI,265,145.75,0.37136717058971086,87.3303370786517,63.25,9.900000000000002,23.650000000000002,17.6,0.55,2025,0.15652173913043482,0.7441860465116279,0.023255813953488372
467793,SL,227,124.84999999999997,0.2822960722610723,81.09,52.25,18.15,12.65,6.6000000000000005,0.0,2025,0.34736842105263155,0.5217391304347826,0.0
467793,ST,132,72.59999999999998,0.26486544927536226,78.71379310344827,26.950000000000003,8.25,8.8,3.3,0.0,2025,0.3061224489795918,0.37499999999999994,0.0
467793,SV,12,6.6,0.29466666666666663,73.58333333333334,3.8499999999999996,0.55,1.6500000000000001,0.55,0.0,2025,0.14285714285714288,0.3333333333333333,0.0
467793,,7,3.8499999999999996,,,0.0,0.0,0.0,0.0,0.0,2025,,,
493329,CH,31,17.050000000000004,0.08542857142857144,82.91538461538462,8.25,1.1,3.3,1.6500000000000001,0.0,2025,0.13333333333333333,0.5000000000000001,0.0
493329,CU,3,1.6500000000000001,0.0,,0.55,0.55,0.0,0.0,0.0,2025,1.0,,
493329,FC,5,2.75,0.116,99.1,1.1,0.0,1.1,0.55,0.0,2025,0.0,0.5,0.0
493329,FF,66,36.29999999999999,0.23449957142857145,76.96206896551722,19.800000000000004,3.3000000000000003,6.05,1.1,0.0,2025,0.16666666666666666,0.18181818181818185,0.0
493329,FS,8,4.4,,93.7,1.6500000000000001,0.55,0.55,0.0,0.0,2025,0.3333333333333333,0.0,0.0
493329,KC,2,1.1,0.095,53.55,1.1,0.0,0.55,0.0,0.0,2025,0.0,0.0,0.0
493329,SI,20,11.000000000000004,0.15159999999999998,82.78000000000002,6.05,0.0,3.3,1.1,0.0,2025,0.0,0.33333333333333337,0.0
493329,SL,28,15.400000000000004,0.13863492063492067,89.76,8.25,2.75,3.3000000000000003,2.75,0.0,2025,0.3333333333333333,0.8333333333333333,0.0
493329,ST,29,15.950000000000005,0.5329980000000001,70.75000000000001,3.8499999999999996,0.55,2.2,0.0,0.0,2025,0.14285714285714288,0.0,0.0
493329,,12,6.6,,,1.6500000000000001,0.55,1.1,0.0,0.0,2025,0.3333333333333333,0.0,0.0
500743,CH,145,88.75,0.3399706283720052,77.94500000000001,42.0,9.25,17.85,5.949999999999999,0.0,2026,0.22023809523809523,0.33333333333333326,0.0
500743,CU,85,51.699999999999996,0.31185424633531833,89.3848888888889,17.3,5.500000000000001,7.95,5.75,0.0,2026,0.31791907514450873,0.7232704402515723,0.0
500743,EP,1,0.55,,,0.0,0.0,0.0,0.0,0.0,2025,,,
500743,FA,7,3.8499999999999996,0.58,90.72500000000001,2.2,0.0,1.6500000000000001,1.1,0.55,2025,0.0,0.6666666666666666,0.3333333333333333
500743,FC,118,72.54999999999998,0.2762830539215686,78.77554240631163,35.95,5.4,17.3,4.2,0.0,2026,0.1502086230876217,0.24277456647398843,0.0
